gvkey,datadate,ticker,cusip,conm,saleq,revtq,cogsq,xsgaq,oiadpq,txtq,piq,atq,gross_margin,marketing_effi,roic,adj_price,rev_growth_yoy
213412,2011-03-31,ASX,00215W100,ASE TECHNOLOGY HLDNG CO,1564.811,1564.811,1091.718,145.257,149.222,32.759,173.348,7260.194,0.3023323583487079,10.772706306752859,0.6981464396793963,4.312067809626927,0.32209990030247226
016597,2011-03-31,LSCC,518415104,LATTICE SEMICONDUCTOR CORP,82.615,82.615,28.923,37.31,12.299,0.208,11.127,382.452,0.649906191369606,2.2142857142857144,1.084667159986563,5.9,0.172975352112676
175404,2011-03-31,FSLR,336433107,FIRST SOLAR INC,567.293,567.293,259.359,130.282,129.383,17.039,133.007,4433.981,0.5428129731902209,4.3543467247969785,0.8481377392713397,160.84,-0.001176137093920171
176661,2011-03-31,JASO,466090206,JA SOLAR HOLDINGS CO LTD,556.383,556.383,460.123,12.978,83.282,11.281,81.899,1941.918,0.1730103184317278,42.871243643088306,0.8768178081134936,35.05,0.993475503579337
177225,2011-03-31,CAVM,14964U108,CAVIUM INC,63.57,63.57,20.197,35.633,3.112,-0.483,1.009,345.387,0.6822872424099418,1.7840204304998175,4.560643013669836,44.93,0.5267670581453996
177458,2011-03-31,CSUNY,16942X302,CHINA SUNERGY CO LTD,165.655,165.655,147.886,9.79,7.979,0.743,4.244,705.295,0.10726509915185174,16.920837589376916,1.5509215316228444,,0.5884530190723676
177486,2011-03-31,LDKYQ,50183L107,LDK SOLAR CO LTD,766.337,766.337,524.745,45.463,196.129,44.168,179.688,6441.356,0.31525555989075305,16.85627873215582,0.8232032139226585,,1.2049690691986763
177538,2011-03-31,ILED,30049B105,EVOLUCIA INC,0.753,0.753,0.607,1.516,-1.37,0.0,-1.399,1.873,0.19389110225763612,0.4967018469656992,0.9792709077912795,,-0.003968253968253954
177629,2011-03-31,YGEHY,98584B202,YINGLI GREEN ENERGY HLDGS CO,527.312,527.312,383.198,57.338,86.776,11.722,77.193,3892.76,0.2732992990866887,9.196553768879276,0.953438670467084,,0.46915485815859714
177650,2011-03-31,AUTH.1,052660107,AUTHENTEC INC,15.476,15.476,6.355,12.002,-4.577,0.136,-5.466,73.057,0.5893641767898682,1.2894517580403266,0.8581925936993468,,0.6865736704446384
177781,2011-03-31,SPRD,849415203,SPREADTRUM COMMUNICATNS -ADR,137.072,137.072,79.17,29.207,28.695,3.437,30.974,588.781,0.42242033383915023,4.693121511966309,0.8236226200777046,18.55,1.630284190125305
184155,2011-03-31,DQ,23703Q203,DAQO NEW ENERGY CORP,90.27,90.27,42.813,3.966,43.491,6.528,41.796,683.041,0.5257228315054836,22.760968229954614,0.8780328908164664,12.88,0.9017021993764218
184182,2011-03-31,JKS,47759T100,JINKOSOLAR HOLDING CO,326.718,326.718,241.246,21.431,64.041,8.104,59.505,1263.553,0.26160786978372785,15.245112220614997,0.929657021913858,27.0,3.063100819539615
187450,2011-03-31,ENPH,29355A107,ENPHASE ENERGY INC,18.069,18.069,14.877,11.605,-8.957,0.0,-9.289,,0.17665615141955837,1.5570012925463161,0.9642588007320486,,0.5594200396996634
216019,2011-03-31,AIIXY,009606203,AIXTRON SE,297.098,297.098,138.899,47.297,106.22,32.543,106.687,1166.539,0.5324808648997974,6.281540055394634,0.6919254470302085,,0.41054760570869697
061737,2011-03-31,ZRAN,98975F101,ZORAN CORP,84.92,84.92,39.357,66.993,-24.797,0.428,-29.938,490.593,0.5365402731983043,1.2675951218784052,0.8401196864595051,10.39,-0.06114913046843029
061214,2011-03-31,ASML,N07059210,ASML HOLDING NV,2059.655,2059.655,1082.731,283.376,637.951,80.417,640.646,9866.688,0.47431438760374917,7.268276071368076,0.8707964921344603,57.79220779220779,1.0527597798993185
027794,2011-03-31,WOLF,97785W106,WOLFSPEED INC,219.168,219.168,102.328,68.619,20.083,3.073,21.954,2408.394,0.5331070229230545,3.1939841734796484,0.7867309954794711,2.11,-0.0637167158657399
026015,2011-03-31,TRIDQ,895919108,TRIDENT MICROSYSTEMS INC,88.333,88.333,61.969,55.007,-35.13,1.055,-39.718,315.966,0.2984615036283156,1.6058501645245151,0.9079795642516562,,-0.022908278394761283
